0,1,2,3
#M-C=-58.50,-118.67,48.17,1594397076.5912259
#G-C=-215.00,62.00,40.00,1594397076.5962565
#A-C=123.90,72.70,185.34,1594397076.605466
#M-C=-57.17,-117.83,47.67,1594397076.6115654
#G-C=-89.00,133.00,21.00,1594397076.616427
#A-C=125.95,71.68,192.51,1594397076.6254916
#M-C=-56.17,-116.17,48.83,1594397076.6312737
#G-C=-95.00,132.00,-7.00,1594397076.6362462
#A-C=128.00,69.63,197.63,1594397076.6463404
#M-C=-55.67,-115.00,49.33,1594397076.6526115
#G-C=-78.00,77.00,-49.00,1594397076.6572511
#A-C=131.07,65.54,197.63,1594397076.6652179
#M-C=-55.50,-114.67,49.00,1594397076.671231
#G-C=-108.00,-92.00,-53.00,1594397076.6765132
#A-C=132.10,65.54,194.56,1594397076.6853738
#M-C=-54.17,-115.00,48.33,1594397076.6912003
#G-C=-166.00,-347.00,-19.00,1594397076.6963267
#A-C=137.22,67.58,191.49,1594397076.70559
#M-C=-53.67,-114.67,47.17,1594397076.713025
#G-C=-140.00,-442.00,37.00,1594397076.7189558
#A-C=130.05,66.56,181.25,1594397076.725341
#M-C=-53.17,-115.33,46.50,1594397076.7312856
#G-C=-75.00,-415.00,52.00,1594397076.7364414
#A-C=128.00,70.66,184.32,1594397076.7453334
#M-C=-53.17,-115.33,46.67,1594397076.7514553
#G-C=-53.00,-342.00,-255.00,1594397076.7566352
#A-C=134.14,68.61,190.46,1594397076.765526
#M-C=-52.17,-116.33,45.33,1594397076.7711954
#G-C=-3.00,-237.00,-88.00,1594397076.7764215
#A-C=131.07,65.54,194.56,1594397076.7853312
#M-C=-52.50,-116.00,45.67,1594397076.7912915
#G-C=14.00,-267.00,-56.00,1594397076.797701
#A-C=133.12,65.54,199.68,1594397076.8054323
#M-C=-52.17,-117.00,43.83,1594397076.811394
#G-C=-25.00,-367.00,-20.00,1594397076.8177488
#A-C=129.02,65.54,194.56,1594397076.825338
#M-C=-52.00,-116.50,44.17,1594397076.8312998
#G-C=-43.00,-439.00,20.00,1594397076.8364315
#A-C=130.05,63.49,200.70,1594397076.845337
#M-C=-52.33,-117.83,41.50,1594397076.851485
#G-C=-23.00,-483.00,27.00,1594397076.8566194
#A-C=130.05,63.49,201.73,1594397076.8654807
#M-C=-52.50,-118.67,42.67,1594397076.8715081
#G-C=13.00,-527.00,1.00,1594397076.880181
#A-C=129.02,62.46,196.61,1594397076.885614
#M-C=-53.00,-118.67,42.00,1594397076.8949924
#G-C=54.00,-483.00,-16.00,1594397076.8992896
#A-C=133.12,58.37,198.66,1594397076.9053767
#M-C=-52.83,-118.83,41.50,1594397076.911273
#G-C=52.00,-455.00,18.00,1594397076.9154513
#A-C=129.02,53.25,200.70,1594397076.925421
#M-C=-53.17,-119.17,40.50,1594397076.931372
#G-C=24.00,-468.00,53.00,1594397076.9368446
#A-C=123.90,51.20,197.63,1594397076.945204
#M-C=-53.83,-118.83,40.00,1594397076.9513774
#G-C=-14.00,-405.00,74.00,1594397076.959233
#A-C=120.83,47.10,201.73,1594397076.9654973
#M-C=-53.83,-119.00,39.67,1594397076.9712718
#G-C=-10.00,-291.00,60.00,1594397076.9762425
#A-C=124.93,39.94,204.80,1594397076.9853158
#M-C=-54.83,-118.83,39.50,1594397076.9932292
#G-C=33.00,-309.00,46.00,1594397076.9977622
